nohup: ignoring input
[0] bbox_docvqa_id=1 resume_skip=True
[1] bbox_docvqa_id=2 resume_skip=True
[2] bbox_docvqa_id=3 resume_skip=True
[3] bbox_docvqa_id=4 resume_skip=True
[4] bbox_docvqa_id=5 resume_skip=True
[5] bbox_docvqa_id=6 resume_skip=True
[6] bbox_docvqa_id=7 resume_skip=True
[7] bbox_docvqa_id=8 resume_skip=True
[8] bbox_docvqa_id=9 resume_skip=True
[54] bbox_docvqa_id=55 images=1/1 error=False
[55] bbox_docvqa_id=56 images=1/1 error=False
[56] bbox_docvqa_id=57 images=1/1 error=False
[57] bbox_docvqa_id=58 images=1/1 error=False
[58] bbox_docvqa_id=59 images=1/1 error=False
[59] bbox_docvqa_id=60 images=1/1 error=False
[60] bbox_docvqa_id=61 images=1/1 error=False
[61] bbox_docvqa_id=62 images=1/1 error=False
[62] bbox_docvqa_id=63 images=1/1 error=False
[63] bbox_docvqa_id=64 images=1/1 error=False
[64] bbox_docvqa_id=65 images=1/1 error=False
[65] bbox_docvqa_id=66 images=1/1 error=False
[66] bbox_docvqa_id=67 images=1/1 error=False
[67] bbox_docvqa_id=68 images=1/1 error=False
[68] bbox_docvqa_id=69 images=1/1 error=False
[69] bbox_docvqa_id=70 images=1/1 error=False
[70] bbox_docvqa_id=71 images=1/1 error=False
[71] bbox_docvqa_id=72 images=1/1 error=False
[72] bbox_docvqa_id=73 images=1/1 error=False
[73] bbox_docvqa_id=74 images=1/1 error=False
[74] bbox_docvqa_id=75 images=1/1 error=False
[75] bbox_docvqa_id=76 images=1/1 error=False
[76] bbox_docvqa_id=77 images=1/1 error=False
[77] bbox_docvqa_id=78 images=1/1 error=False
[78] bbox_docvqa_id=79 images=1/1 error=False
[79] bbox_docvqa_id=80 images=1/1 error=False
[80] bbox_docvqa_id=81 images=1/1 error=False
[81] bbox_docvqa_id=82 images=1/1 error=False
[82] bbox_docvqa_id=83 images=1/1 error=False
[83] bbox_docvqa_id=84 images=1/1 error=False
[84] bbox_docvqa_id=85 images=1/1 error=False
[85] bbox_docvqa_id=86 images=1/1 error=False
[86] bbox_docvqa_id=87 images=1/1 error=False
[87] bbox_docvqa_id=88 images=1/1 error=False
[88] bbox_docvqa_id=89 images=1/1 error=False
[89] bbox_docvqa_id=90 images=1/1 error=False
[90] bbox_docvqa_id=91 images=1/1 error=False
[91] bbox_docvqa_id=92 images=1/1 error=False
[92] bbox_docvqa_id=93 images=1/1 error=False
[93] bbox_docvqa_id=94 images=1/1 error=False
[94] bbox_docvqa_id=95 images=1/1 error=False
[95] bbox_docvqa_id=96 images=1/1 error=False
[96] bbox_docvqa_id=97 images=1/1 error=False
[97] bbox_docvqa_id=98 images=1/1 error=False
[98] bbox_docvqa_id=99 images=1/1 error=False
[99] bbox_docvqa_id=100 images=1/1 error=False
[100] bbox_docvqa_id=101 images=1/1 error=False
[101] bbox_docvqa_id=102 images=1/1 error=False
[102] bbox_docvqa_id=103 images=1/1 error=False
[103] bbox_docvqa_id=104 images=1/1 error=False
[104] bbox_docvqa_id=105 images=1/1 error=False
[105] bbox_docvqa_id=106 images=1/1 error=False
[106] bbox_docvqa_id=107 images=1/1 error=False
[107] bbox_docvqa_id=108 images=1/1 error=False
[108] bbox_docvqa_id=109 images=1/1 error=False
[109] bbox_docvqa_id=110 images=1/1 error=False
[110] bbox_docvqa_id=111 images=1/1 error=False
[111] bbox_docvqa_id=112 images=1/1 error=False
[112] bbox_docvqa_id=113 images=1/1 error=False
[113] bbox_docvqa_id=114 images=1/1 error=False
[114] bbox_docvqa_id=115 images=1/1 error=False
[115] bbox_docvqa_id=116 images=1/1 error=False
[116] bbox_docvqa_id=117 images=1/1 error=False
[117] bbox_docvqa_id=118 images=1/1 error=False
[118] bbox_docvqa_id=119 images=1/1 error=False
[119] bbox_docvqa_id=120 images=1/1 error=False
[120] bbox_docvqa_id=121 images=1/1 error=False
[121] bbox_docvqa_id=122 images=1/1 error=False
[122] bbox_docvqa_id=123 images=1/1 error=False
[123] bbox_docvqa_id=124 images=1/1 error=False
[124] bbox_docvqa_id=125 images=1/1 error=False
[125] bbox_docvqa_id=126 images=1/1 error=False
[126] bbox_docvqa_id=127 images=1/1 error=False
[127] bbox_docvqa_id=128 images=1/1 error=False
[128] bbox_docvqa_id=129 images=1/1 error=False
[129] bbox_docvqa_id=130 images=1/1 error=False
[130] bbox_docvqa_id=131 images=1/1 error=False
[131] bbox_docvqa_id=132 images=1/1 error=False
[132] bbox_docvqa_id=133 images=1/1 error=False
[133] bbox_docvqa_id=134 images=1/1 error=False
[134] bbox_docvqa_id=135 images=1/1 error=False
[135] bbox_docvqa_id=136 images=1/1 error=False
[136] bbox_docvqa_id=137 images=1/1 error=False
[137] bbox_docvqa_id=138 images=1/1 error=False
[138] bbox_docvqa_id=139 images=1/1 error=False
[139] bbox_docvqa_id=140 images=1/1 error=False
[140] bbox_docvqa_id=141 images=1/1 error=False
[141] bbox_docvqa_id=142 images=1/1 error=False
[142] bbox_docvqa_id=143 images=1/1 error=False
[143] bbox_docvqa_id=144 images=1/1 error=False
[144] bbox_docvqa_id=145 images=1/1 error=False
[145] bbox_docvqa_id=146 images=1/1 error=False
[146] bbox_docvqa_id=147 images=1/1 error=False
[147] bbox_docvqa_id=148 images=1/1 error=False
[148] bbox_docvqa_id=149 images=1/1 error=False
[149] bbox_docvqa_id=150 images=1/1 error=False
[150] bbox_docvqa_id=151 images=1/1 error=False
[151] bbox_docvqa_id=152 images=1/1 error=False
[152] bbox_docvqa_id=153 images=1/1 error=False
[153] bbox_docvqa_id=154 images=1/1 error=False
[154] bbox_docvqa_id=155 images=1/1 error=False
[155] bbox_docvqa_id=156 images=1/1 error=False
[156] bbox_docvqa_id=157 images=1/1 error=False
[157] bbox_docvqa_id=158 images=1/1 error=False
[158] bbox_docvqa_id=159 images=1/1 error=False
[159] bbox_docvqa_id=160 images=1/1 error=False
[160] bbox_docvqa_id=161 images=1/1 error=False
[161] bbox_docvqa_id=162 images=1/1 error=False
[162] bbox_docvqa_id=163 images=1/1 error=False
[163] bbox_docvqa_id=164 images=1/1 error=False
[164] bbox_docvqa_id=165 images=1/1 error=False
[165] bbox_docvqa_id=166 images=1/1 error=False
[166] bbox_docvqa_id=167 images=1/1 error=False
[167] bbox_docvqa_id=168 images=1/1 error=False
[168] bbox_docvqa_id=169 images=1/1 error=False
[169] bbox_docvqa_id=170 images=1/1 error=False
[170] bbox_docvqa_id=171 images=1/1 error=False
[171] bbox_docvqa_id=172 images=1/1 error=False
[172] bbox_docvqa_id=173 images=1/1 error=False
[173] bbox_docvqa_id=174 images=1/1 error=False
[174] bbox_docvqa_id=175 images=1/1 error=False
[175] bbox_docvqa_id=176 images=1/1 error=False
[176] bbox_docvqa_id=177 images=1/1 error=False
[177] bbox_docvqa_id=178 images=1/1 error=False
[178] bbox_docvqa_id=179 images=1/1 error=False
[179] bbox_docvqa_id=180 images=1/1 error=False
[180] bbox_docvqa_id=181 images=1/1 error=False
[181] bbox_docvqa_id=182 images=1/1 error=False
[182] bbox_docvqa_id=183 images=1/1 error=False
[183] bbox_docvqa_id=184 images=1/1 error=False
[184] bbox_docvqa_id=185 images=1/1 error=False
[185] bbox_docvqa_id=186 images=1/1 error=False
[186] bbox_docvqa_id=187 images=1/1 error=False
[187] bbox_docvqa_id=188 images=1/1 error=False
[188] bbox_docvqa_id=189 images=1/1 error=False
[189] bbox_docvqa_id=190 images=1/1 error=False
[190] bbox_docvqa_id=191 images=1/1 error=False
[191] bbox_docvqa_id=192 images=1/1 error=False
[192] bbox_docvqa_id=193 images=1/1 error=False
[193] bbox_docvqa_id=194 images=1/1 error=False
[194] bbox_docvqa_id=195 images=1/1 error=False
[195] bbox_docvqa_id=196 images=1/1 error=False
[196] bbox_docvqa_id=197 images=1/1 error=False
[197] bbox_docvqa_id=198 images=1/1 error=False
[198] bbox_docvqa_id=199 images=1/1 error=False
[199] bbox_docvqa_id=200 images=1/1 error=False
[200] bbox_docvqa_id=201 images=1/1 error=False
[201] bbox_docvqa_id=202 images=1/1 error=False
[202] bbox_docvqa_id=203 images=1/1 error=False
[203] bbox_docvqa_id=204 images=1/1 error=False
[204] bbox_docvqa_id=205 images=1/1 error=False
[205] bbox_docvqa_id=206 images=1/1 error=False
[206] bbox_docvqa_id=207 images=1/1 error=False
[207] bbox_docvqa_id=208 images=1/1 error=False
[208] bbox_docvqa_id=209 images=1/1 error=False
[209] bbox_docvqa_id=210 images=1/1 error=False
[210] bbox_docvqa_id=211 images=1/1 error=False
[211] bbox_docvqa_id=212 images=1/1 error=False
[212] bbox_docvqa_id=213 images=1/1 error=False
[213] bbox_docvqa_id=214 images=1/1 error=False
[214] bbox_docvqa_id=215 images=1/1 error=False
[215] bbox_docvqa_id=216 images=1/1 error=False
[216] bbox_docvqa_id=217 images=1/1 error=False
[217] bbox_docvqa_id=218 images=1/1 error=False
[218] bbox_docvqa_id=219 images=1/1 error=False
[219] bbox_docvqa_id=220 images=1/1 error=False
[220] bbox_docvqa_id=221 images=1/1 error=False
[221] bbox_docvqa_id=222 images=1/1 error=False
[222] bbox_docvqa_id=223 images=1/1 error=False
[223] bbox_docvqa_id=224 images=1/1 error=False
[224] bbox_docvqa_id=225 images=1/1 error=False
[225] bbox_docvqa_id=226 images=1/1 error=False
[226] bbox_docvqa_id=227 images=1/1 error=False
[227] bbox_docvqa_id=228 images=1/1 error=False
[228] bbox_docvqa_id=229 images=1/1 error=False
[229] bbox_docvqa_id=230 images=1/1 error=False
[230] bbox_docvqa_id=231 images=1/1 error=False
[231] bbox_docvqa_id=232 images=1/1 error=False
[232] bbox_docvqa_id=233 images=1/1 error=False
[233] bbox_docvqa_id=234 images=1/1 error=False
[234] bbox_docvqa_id=235 images=1/1 error=False
[235] bbox_docvqa_id=236 images=1/1 error=False
[236] bbox_docvqa_id=237 images=1/1 error=False
[237] bbox_docvqa_id=238 images=1/1 error=False
[238] bbox_docvqa_id=239 images=1/1 error=False
[239] bbox_docvqa_id=240 images=1/1 error=False
[240] bbox_docvqa_id=241 images=1/1 error=False
[241] bbox_docvqa_id=242 images=1/1 error=False
[242] bbox_docvqa_id=243 images=1/1 error=False
[243] bbox_docvqa_id=244 images=1/1 error=False
[244] bbox_docvqa_id=245 images=1/1 error=False
[245] bbox_docvqa_id=246 images=1/1 error=False
[246] bbox_docvqa_id=247 images=1/1 error=False
[247] bbox_docvqa_id=248 images=1/1 error=False
[248] bbox_docvqa_id=249 images=1/1 error=False
[249] bbox_docvqa_id=250 images=1/1 error=False
[250] bbox_docvqa_id=251 images=1/1 error=False
[251] bbox_docvqa_id=252 images=1/1 error=False
[252] bbox_docvqa_id=253 images=1/1 error=False
[253] bbox_docvqa_id=254 images=1/1 error=False
[254] bbox_docvqa_id=255 images=1/1 error=False
[255] bbox_docvqa_id=256 images=1/1 error=False
[256] bbox_docvqa_id=257 images=1/1 error=False
[257] bbox_docvqa_id=258 images=1/1 error=False
[258] bbox_docvqa_id=259 images=1/1 error=False
[259] bbox_docvqa_id=260 images=1/1 error=False
[260] bbox_docvqa_id=261 images=1/1 error=False
[261] bbox_docvqa_id=262 images=1/1 error=False
[262] bbox_docvqa_id=263 images=1/1 error=False
[263] bbox_docvqa_id=264 images=1/1 error=False
[264] bbox_docvqa_id=265 images=1/1 error=False
[265] bbox_docvqa_id=266 images=1/1 error=False
[266] bbox_docvqa_id=267 images=1/1 error=False
[267] bbox_docvqa_id=268 images=1/1 error=False
[268] bbox_docvqa_id=269 images=1/1 error=False
[269] bbox_docvqa_id=270 images=1/1 error=False
[270] bbox_docvqa_id=271 images=1/1 error=False
[271] bbox_docvqa_id=272 images=1/1 error=False
[272] bbox_docvqa_id=273 images=1/1 error=False
[273] bbox_docvqa_id=274 images=1/1 error=False
[274] bbox_docvqa_id=275 images=1/1 error=False
[275] bbox_docvqa_id=276 images=1/1 error=False
[276] bbox_docvqa_id=277 images=1/1 error=False
[277] bbox_docvqa_id=278 images=1/1 error=False
[278] bbox_docvqa_id=279 images=1/1 error=False
[279] bbox_docvqa_id=280 images=1/1 error=False
[280] bbox_docvqa_id=281 images=1/1 error=False
[281] bbox_docvqa_id=282 images=1/1 error=False
[282] bbox_docvqa_id=283 images=1/1 error=False
[283] bbox_docvqa_id=284 images=1/1 error=False
[284] bbox_docvqa_id=285 images=1/1 error=False
[285] bbox_docvqa_id=286 images=1/1 error=False
[286] bbox_docvqa_id=287 images=1/1 error=False
[287] bbox_docvqa_id=288 images=1/1 error=False
[288] bbox_docvqa_id=289 images=1/1 error=False
[289] bbox_docvqa_id=290 images=1/1 error=False
[290] bbox_docvqa_id=291 images=1/1 error=False
[291] bbox_docvqa_id=292 images=1/1 error=False
[292] bbox_docvqa_id=293 images=1/1 error=False
[293] bbox_docvqa_id=294 images=1/1 error=False
[294] bbox_docvqa_id=295 images=1/1 error=False
[295] bbox_docvqa_id=296 images=1/1 error=False
[296] bbox_docvqa_id=297 images=1/1 error=False
[297] bbox_docvqa_id=298 images=1/1 error=False
[298] bbox_docvqa_id=299 images=1/1 error=False
[299] bbox_docvqa_id=300 images=1/1 error=False
[300] bbox_docvqa_id=301 images=1/1 error=False
[301] bbox_docvqa_id=302 images=1/1 error=False
[302] bbox_docvqa_id=303 images=1/1 error=False
[303] bbox_docvqa_id=304 images=1/1 error=False
[304] bbox_docvqa_id=305 images=1/1 error=False
[305] bbox_docvqa_id=306 images=1/1 error=False
[306] bbox_docvqa_id=307 images=1/1 error=False
[307] bbox_docvqa_id=308 images=1/1 error=False
[308] bbox_docvqa_id=309 images=1/1 error=False
[309] bbox_docvqa_id=310 images=1/1 error=False
[310] bbox_docvqa_id=311 images=1/1 error=False
[311] bbox_docvqa_id=312 images=1/1 error=False
[312] bbox_docvqa_id=313 images=1/1 error=False
[313] bbox_docvqa_id=314 images=1/1 error=False
[314] bbox_docvqa_id=315 images=1/1 error=False
[315] bbox_docvqa_id=316 images=1/1 error=False
[316] bbox_docvqa_id=317 images=1/1 error=False
[317] bbox_docvqa_id=318 images=1/1 error=False
[318] bbox_docvqa_id=319 images=1/1 error=False
[319] bbox_docvqa_id=320 images=1/1 error=False
[320] bbox_docvqa_id=321 images=1/1 error=False
[321] bbox_docvqa_id=322 images=1/1 error=False
[322] bbox_docvqa_id=323 images=1/1 error=False
[323] bbox_docvqa_id=324 images=1/1 error=False
[324] bbox_docvqa_id=325 images=1/1 error=False
[325] bbox_docvqa_id=326 images=1/1 error=False
[326] bbox_docvqa_id=327 images=1/1 error=False
[327] bbox_docvqa_id=328 images=1/1 error=False
[328] bbox_docvqa_id=329 images=1/1 error=False
[329] bbox_docvqa_id=330 images=1/1 error=False
[330] bbox_docvqa_id=331 images=1/1 error=False
[331] bbox_docvqa_id=332 images=1/1 error=False
[332] bbox_docvqa_id=333 images=1/1 error=False
[333] bbox_docvqa_id=334 images=1/1 error=False
[334] bbox_docvqa_id=335 images=1/1 error=False
[335] bbox_docvqa_id=336 images=1/1 error=False
[336] bbox_docvqa_id=337 images=1/1 error=False
[337] bbox_docvqa_id=338 images=1/1 error=False
[338] bbox_docvqa_id=339 images=1/1 error=False
[339] bbox_docvqa_id=340 images=1/1 error=False
[340] bbox_docvqa_id=341 images=1/1 error=False
[341] bbox_docvqa_id=342 images=1/1 error=False
[342] bbox_docvqa_id=343 images=1/1 error=False
[343] bbox_docvqa_id=344 images=1/1 error=False
[344] bbox_docvqa_id=345 images=1/1 error=False
[345] bbox_docvqa_id=346 images=1/1 error=False
[346] bbox_docvqa_id=347 images=1/1 error=False
[347] bbox_docvqa_id=348 images=1/1 error=False
[348] bbox_docvqa_id=349 images=1/1 error=False
[349] bbox_docvqa_id=350 images=1/1 error=False
[350] bbox_docvqa_id=351 images=1/1 error=False
[351] bbox_docvqa_id=352 images=1/1 error=False
[352] bbox_docvqa_id=353 images=1/1 error=False
[353] bbox_docvqa_id=354 images=1/1 error=False
[354] bbox_docvqa_id=355 images=1/1 error=False
[355] bbox_docvqa_id=356 images=1/1 error=False
[356] bbox_docvqa_id=357 images=1/1 error=False
[357] bbox_docvqa_id=358 images=1/1 error=False
[358] bbox_docvqa_id=359 images=1/1 error=False
[359] bbox_docvqa_id=360 images=1/1 error=False
[360] bbox_docvqa_id=361 images=1/1 error=False
[361] bbox_docvqa_id=362 images=1/1 error=False
[362] bbox_docvqa_id=363 images=1/1 error=False
[363] bbox_docvqa_id=364 images=1/1 error=False
[364] bbox_docvqa_id=365 images=1/1 error=False
[365] bbox_docvqa_id=366 images=1/1 error=False
[366] bbox_docvqa_id=367 images=1/1 error=False
[367] bbox_docvqa_id=368 images=1/1 error=False
[368] bbox_docvqa_id=369 images=1/1 error=False
[369] bbox_docvqa_id=370 images=1/1 error=False
[370] bbox_docvqa_id=371 images=1/1 error=False
[371] bbox_docvqa_id=372 images=1/1 error=False
[372] bbox_docvqa_id=373 images=1/1 error=False
[373] bbox_docvqa_id=374 images=1/1 error=False
[374] bbox_docvqa_id=375 images=1/1 error=False
[375] bbox_docvqa_id=376 images=1/1 error=False
[376] bbox_docvqa_id=377 images=1/1 error=False
[377] bbox_docvqa_id=378 images=1/1 error=False
[378] bbox_docvqa_id=379 images=1/1 error=False
[379] bbox_docvqa_id=380 images=1/1 error=False
[380] bbox_docvqa_id=381 images=1/1 error=False
[381] bbox_docvqa_id=382 images=1/1 error=False
[382] bbox_docvqa_id=383 images=1/1 error=False
[383] bbox_docvqa_id=384 images=1/1 error=False
[384] bbox_docvqa_id=385 images=1/1 error=False
[385] bbox_docvqa_id=386 images=1/1 error=False
[386] bbox_docvqa_id=387 images=1/1 error=False
[387] bbox_docvqa_id=388 images=1/1 error=False
[388] bbox_docvqa_id=389 images=1/1 error=False
[389] bbox_docvqa_id=390 images=1/1 error=False
[390] bbox_docvqa_id=391 images=1/1 error=False
[391] bbox_docvqa_id=392 images=1/1 error=False
[392] bbox_docvqa_id=393 images=1/1 error=False
[393] bbox_docvqa_id=394 images=1/1 error=False
[394] bbox_docvqa_id=395 images=1/1 error=False
[395] bbox_docvqa_id=396 images=1/1 error=False
[396] bbox_docvqa_id=397 images=1/1 error=False
[397] bbox_docvqa_id=398 images=1/1 error=False
[398] bbox_docvqa_id=399 images=1/1 error=False
[399] bbox_docvqa_id=400 images=1/1 error=False
[400] bbox_docvqa_id=401 images=1/1 error=False
[401] bbox_docvqa_id=402 images=1/1 error=False
[402] bbox_docvqa_id=403 images=1/1 error=False
[403] bbox_docvqa_id=404 images=1/1 error=False
[404] bbox_docvqa_id=405 images=1/1 error=False
[405] bbox_docvqa_id=406 images=1/1 error=False
[406] bbox_docvqa_id=407 images=1/1 error=False
[407] bbox_docvqa_id=408 images=1/1 error=False
[408] bbox_docvqa_id=409 images=1/1 error=False
[409] bbox_docvqa_id=410 images=1/1 error=False
[410] bbox_docvqa_id=411 images=1/1 error=False
[411] bbox_docvqa_id=412 images=1/1 error=False
[412] bbox_docvqa_id=413 images=1/1 error=False
[413] bbox_docvqa_id=414 images=1/1 error=False
[414] bbox_docvqa_id=415 images=1/1 error=False
[415] bbox_docvqa_id=416 images=1/1 error=False
[416] bbox_docvqa_id=417 images=1/1 error=False
[417] bbox_docvqa_id=418 images=1/1 error=False
[418] bbox_docvqa_id=419 images=1/1 error=False
[419] bbox_docvqa_id=420 images=1/1 error=False
[420] bbox_docvqa_id=421 images=1/1 error=False
[421] bbox_docvqa_id=422 images=1/1 error=False
[422] bbox_docvqa_id=423 images=1/1 error=False
[423] bbox_docvqa_id=424 images=1/1 error=False
[424] bbox_docvqa_id=425 images=1/1 error=False
[425] bbox_docvqa_id=426 images=1/1 error=False
[426] bbox_docvqa_id=427 images=1/1 error=False
[427] bbox_docvqa_id=428 images=1/1 error=False
[428] bbox_docvqa_id=429 images=1/1 error=False
[429] bbox_docvqa_id=430 images=1/1 error=False
[430] bbox_docvqa_id=431 images=1/1 error=False
[431] bbox_docvqa_id=432 images=1/1 error=False
[432] bbox_docvqa_id=433 images=1/1 error=False
[433] bbox_docvqa_id=434 images=1/1 error=False
[434] bbox_docvqa_id=435 images=1/1 error=False
[435] bbox_docvqa_id=436 images=1/1 error=False
[436] bbox_docvqa_id=437 images=1/1 error=False
[437] bbox_docvqa_id=438 images=1/1 error=False
[438] bbox_docvqa_id=439 images=1/1 error=False
[439] bbox_docvqa_id=440 images=1/1 error=False
[440] bbox_docvqa_id=441 images=1/1 error=False
[441] bbox_docvqa_id=442 images=1/1 error=False
[442] bbox_docvqa_id=443 images=1/1 error=False
[443] bbox_docvqa_id=444 images=1/1 error=False
[444] bbox_docvqa_id=445 images=1/1 error=False
[445] bbox_docvqa_id=446 images=1/1 error=False
[446] bbox_docvqa_id=447 images=1/1 error=False
[447] bbox_docvqa_id=448 images=1/1 error=False
[448] bbox_docvqa_id=449 images=1/1 error=False
[449] bbox_docvqa_id=450 images=1/1 error=False
[450] bbox_docvqa_id=451 images=1/1 error=False
[451] bbox_docvqa_id=452 images=1/1 error=False
[452] bbox_docvqa_id=453 images=1/1 error=False
[453] bbox_docvqa_id=454 images=1/1 error=False
[454] bbox_docvqa_id=455 images=1/1 error=False
[455] bbox_docvqa_id=456 images=1/1 error=False
[456] bbox_docvqa_id=457 images=1/1 error=False
[457] bbox_docvqa_id=458 images=1/1 error=False
[458] bbox_docvqa_id=459 images=1/1 error=False
[459] bbox_docvqa_id=460 images=1/1 error=False
[460] bbox_docvqa_id=461 images=1/1 error=False
[461] bbox_docvqa_id=462 images=1/1 error=False
[462] bbox_docvqa_id=463 images=1/1 error=False
[463] bbox_docvqa_id=464 images=1/1 error=False
[464] bbox_docvqa_id=465 images=1/1 error=False
[465] bbox_docvqa_id=466 images=1/1 error=False
[466] bbox_docvqa_id=467 images=1/1 error=False
[467] bbox_docvqa_id=468 images=1/1 error=False
[468] bbox_docvqa_id=469 images=1/1 error=False
[469] bbox_docvqa_id=470 images=1/1 error=False
[470] bbox_docvqa_id=471 images=1/1 error=False
[471] bbox_docvqa_id=472 images=1/1 error=False
[472] bbox_docvqa_id=473 images=1/1 error=False
[473] bbox_docvqa_id=474 images=1/1 error=False
[474] bbox_docvqa_id=475 images=1/1 error=False
[475] bbox_docvqa_id=476 images=1/1 error=False
[476] bbox_docvqa_id=477 images=1/1 error=False
[477] bbox_docvqa_id=478 images=1/1 error=False
[478] bbox_docvqa_id=479 images=1/1 error=False
[479] bbox_docvqa_id=480 images=1/1 error=False
[480] bbox_docvqa_id=481 images=1/1 error=False
[481] bbox_docvqa_id=482 images=1/1 error=False
[482] bbox_docvqa_id=483 images=1/1 error=False
[483] bbox_docvqa_id=484 images=1/1 error=False
[484] bbox_docvqa_id=485 images=1/1 error=False
[485] bbox_docvqa_id=486 images=1/1 error=False
[486] bbox_docvqa_id=487 images=1/1 error=False
[487] bbox_docvqa_id=488 images=1/1 error=False
[488] bbox_docvqa_id=489 images=1/1 error=False
[489] bbox_docvqa_id=490 images=1/1 error=False
[490] bbox_docvqa_id=491 images=1/1 error=False
[491] bbox_docvqa_id=492 images=1/1 error=False
[492] bbox_docvqa_id=493 images=1/1 error=False
[493] bbox_docvqa_id=494 images=1/1 error=False
[494] bbox_docvqa_id=495 images=1/1 error=False
[495] bbox_docvqa_id=496 images=1/1 error=False
[496] bbox_docvqa_id=497 images=1/1 error=False
[497] bbox_docvqa_id=498 images=1/1 error=False
[498] bbox_docvqa_id=499 images=1/1 error=False
[499] bbox_docvqa_id=500 images=1/1 error=False
[500] bbox_docvqa_id=501 images=1/1 error=False
[501] bbox_docvqa_id=502 images=1/1 error=False
[502] bbox_docvqa_id=503 images=1/1 error=False
[503] bbox_docvqa_id=504 images=1/1 error=False
[504] bbox_docvqa_id=505 images=1/1 error=False
[505] bbox_docvqa_id=506 images=1/1 error=False
[506] bbox_docvqa_id=507 images=1/1 error=False
[507] bbox_docvqa_id=508 images=1/1 error=False
[508] bbox_docvqa_id=509 images=1/1 error=False
[509] bbox_docvqa_id=510 images=1/1 error=False
[510] bbox_docvqa_id=511 images=1/1 error=False
[511] bbox_docvqa_id=512 images=1/1 error=False
[512] bbox_docvqa_id=513 images=1/1 error=False
[513] bbox_docvqa_id=514 images=1/1 error=False
[514] bbox_docvqa_id=515 images=1/1 error=False
[515] bbox_docvqa_id=516 images=1/1 error=False
[516] bbox_docvqa_id=517 images=1/1 error=False
[517] bbox_docvqa_id=518 images=1/1 error=False
[518] bbox_docvqa_id=519 images=1/1 error=False
[519] bbox_docvqa_id=520 images=1/1 error=False
[520] bbox_docvqa_id=521 images=1/1 error=False
[521] bbox_docvqa_id=522 images=1/1 error=False
[522] bbox_docvqa_id=523 images=1/1 error=False
[523] bbox_docvqa_id=524 images=1/1 error=False
[524] bbox_docvqa_id=525 images=1/1 error=False
[525] bbox_docvqa_id=526 images=1/1 error=False
[526] bbox_docvqa_id=527 images=1/1 error=False
[527] bbox_docvqa_id=528 images=1/1 error=False
[528] bbox_docvqa_id=529 images=1/1 error=False
[529] bbox_docvqa_id=530 images=1/1 error=False
