nohup: ignoring input
[8] bbox_docvqa_id=9 images=28/28 error=False
[51] bbox_docvqa_id=52 images=19/19 error=True
[54] bbox_docvqa_id=55 images=19/19 error=True
[44] bbox_docvqa_id=45 images=11/11 error=True
[52] bbox_docvqa_id=53 images=19/19 error=True
[45] bbox_docvqa_id=46 images=11/11 error=True
[55] bbox_docvqa_id=56 images=19/19 error=True
[46] bbox_docvqa_id=47 images=11/11 error=True
[53] bbox_docvqa_id=54 images=19/19 error=True
[47] bbox_docvqa_id=48 images=11/11 error=True
[48] bbox_docvqa_id=49 images=11/11 error=True
[56] bbox_docvqa_id=57 images=19/19 error=True
[14] bbox_docvqa_id=15 images=12/12 error=False
[49] bbox_docvqa_id=50 images=11/11 error=True
[54] bbox_docvqa_id=55 images=19/19 error=True
[57] bbox_docvqa_id=58 images=19/19 error=True
[50] bbox_docvqa_id=51 images=19/19 error=True
[55] bbox_docvqa_id=56 images=19/19 error=True
[9] bbox_docvqa_id=10 images=28/28 error=False
[58] bbox_docvqa_id=59 images=19/19 error=True
[56] bbox_docvqa_id=57 images=19/19 error=True
[51] bbox_docvqa_id=52 images=19/19 error=True
[15] bbox_docvqa_id=16 images=12/12 error=False
[59] bbox_docvqa_id=60 images=19/19 error=True
[57] bbox_docvqa_id=58 images=19/19 error=True
[52] bbox_docvqa_id=53 images=19/19 error=True
[58] bbox_docvqa_id=59 images=19/19 error=True
[60] bbox_docvqa_id=61 images=52/52 error=True
[53] bbox_docvqa_id=54 images=19/19 error=True
[59] bbox_docvqa_id=60 images=19/19 error=True
[16] bbox_docvqa_id=17 images=12/12 error=False
[54] bbox_docvqa_id=55 images=19/19 error=True
[61] bbox_docvqa_id=62 images=52/52 error=True
[4] bbox_docvqa_id=5 images=28/28 error=False
[60] bbox_docvqa_id=61 images=52/52 error=True
[55] bbox_docvqa_id=56 images=19/19 error=True
[56] bbox_docvqa_id=57 images=19/19 error=True
[62] bbox_docvqa_id=63 images=52/52 error=True
[61] bbox_docvqa_id=62 images=52/52 error=True
[17] bbox_docvqa_id=18 images=12/12 error=False
[10] bbox_docvqa_id=11 images=12/12 error=False
[57] bbox_docvqa_id=58 images=19/19 error=True
[62] bbox_docvqa_id=63 images=52/52 error=True
[63] bbox_docvqa_id=64 images=52/52 error=True
[58] bbox_docvqa_id=59 images=19/19 error=True
[63] bbox_docvqa_id=64 images=52/52 error=True
[64] bbox_docvqa_id=65 images=52/52 error=True
[18] bbox_docvqa_id=19 images=12/12 error=False
[11] bbox_docvqa_id=12 images=12/12 error=False
[59] bbox_docvqa_id=60 images=19/19 error=True
[11] bbox_docvqa_id=12 images=12/12 error=False
[65] bbox_docvqa_id=66 images=52/52 error=True
[64] bbox_docvqa_id=65 images=52/52 error=True
[60] bbox_docvqa_id=61 images=52/52 error=True
[12] bbox_docvqa_id=13 images=12/12 error=False
[19] bbox_docvqa_id=20 images=12/12 error=False
[65] bbox_docvqa_id=66 images=52/52 error=True
[66] bbox_docvqa_id=67 images=52/52 error=True
[61] bbox_docvqa_id=62 images=52/52 error=True
[13] bbox_docvqa_id=14 images=12/12 error=False
[66] bbox_docvqa_id=67 images=52/52 error=True
[67] bbox_docvqa_id=68 images=52/52 error=True
[62] bbox_docvqa_id=63 images=52/52 error=True
[67] bbox_docvqa_id=68 images=52/52 error=True
[68] bbox_docvqa_id=69 images=52/52 error=True
[14] bbox_docvqa_id=15 images=12/12 error=False
[5] bbox_docvqa_id=6 images=28/28 error=False
[20] bbox_docvqa_id=21 images=21/21 error=False
[68] bbox_docvqa_id=69 images=52/52 error=True
[63] bbox_docvqa_id=64 images=52/52 error=True
[69] bbox_docvqa_id=70 images=52/52 error=True
[69] bbox_docvqa_id=70 images=52/52 error=True
[64] bbox_docvqa_id=65 images=52/52 error=True
[15] bbox_docvqa_id=16 images=12/12 error=False
[70] bbox_docvqa_id=71 images=45/45 error=True
[21] bbox_docvqa_id=22 images=21/21 error=False
[70] bbox_docvqa_id=71 images=45/45 error=True
[65] bbox_docvqa_id=66 images=52/52 error=True
[71] bbox_docvqa_id=72 images=45/45 error=True
[71] bbox_docvqa_id=72 images=45/45 error=True
[16] bbox_docvqa_id=17 images=12/12 error=False
[66] bbox_docvqa_id=67 images=52/52 error=True
[72] bbox_docvqa_id=73 images=45/45 error=True
[72] bbox_docvqa_id=73 images=45/45 error=True
[22] bbox_docvqa_id=23 images=21/21 error=False
[17] bbox_docvqa_id=18 images=12/12 error=False
[73] bbox_docvqa_id=74 images=45/45 error=True
[73] bbox_docvqa_id=74 images=45/45 error=True
[67] bbox_docvqa_id=68 images=52/52 error=True
[68] bbox_docvqa_id=69 images=52/52 error=True
[74] bbox_docvqa_id=75 images=45/45 error=True
[74] bbox_docvqa_id=75 images=45/45 error=True
[23] bbox_docvqa_id=24 images=21/21 error=False
[18] bbox_docvqa_id=19 images=12/12 error=False
[75] bbox_docvqa_id=76 images=45/45 error=True
[69] bbox_docvqa_id=70 images=52/52 error=True
[75] bbox_docvqa_id=76 images=45/45 error=True
[19] bbox_docvqa_id=20 images=12/12 error=False
[70] bbox_docvqa_id=71 images=45/45 error=True
[76] bbox_docvqa_id=77 images=45/45 error=True
[76] bbox_docvqa_id=77 images=45/45 error=True
[24] bbox_docvqa_id=25 images=21/21 error=False
[77] bbox_docvqa_id=78 images=45/45 error=True
[71] bbox_docvqa_id=72 images=45/45 error=True
[77] bbox_docvqa_id=78 images=45/45 error=True
[6] bbox_docvqa_id=7 images=28/28 error=False
[72] bbox_docvqa_id=73 images=45/45 error=True
[78] bbox_docvqa_id=79 images=45/45 error=True
[78] bbox_docvqa_id=79 images=45/45 error=True
[25] bbox_docvqa_id=26 images=21/21 error=False
[79] bbox_docvqa_id=80 images=45/45 error=True
[73] bbox_docvqa_id=74 images=45/45 error=True
[79] bbox_docvqa_id=80 images=45/45 error=True
[80] bbox_docvqa_id=81 images=18/18 error=True
[74] bbox_docvqa_id=75 images=45/45 error=True
[80] bbox_docvqa_id=81 images=18/18 error=True
[26] bbox_docvqa_id=27 images=21/21 error=False
[81] bbox_docvqa_id=82 images=18/18 error=True
[81] bbox_docvqa_id=82 images=18/18 error=True
[75] bbox_docvqa_id=76 images=45/45 error=True
[82] bbox_docvqa_id=83 images=18/18 error=True
[82] bbox_docvqa_id=83 images=18/18 error=True
[76] bbox_docvqa_id=77 images=45/45 error=True
[83] bbox_docvqa_id=84 images=18/18 error=True
[12] bbox_docvqa_id=13 images=12/12 error=False
[83] bbox_docvqa_id=84 images=18/18 error=True
[27] bbox_docvqa_id=28 images=21/21 error=False
[77] bbox_docvqa_id=78 images=45/45 error=True
[84] bbox_docvqa_id=85 images=18/18 error=True
[84] bbox_docvqa_id=85 images=18/18 error=True
[78] bbox_docvqa_id=79 images=45/45 error=True
[20] bbox_docvqa_id=21 images=21/21 error=False
[85] bbox_docvqa_id=86 images=18/18 error=True
[85] bbox_docvqa_id=86 images=18/18 error=True
[79] bbox_docvqa_id=80 images=45/45 error=True
[86] bbox_docvqa_id=87 images=18/18 error=True
[86] bbox_docvqa_id=87 images=18/18 error=True
[28] bbox_docvqa_id=29 images=21/21 error=False
[87] bbox_docvqa_id=88 images=18/18 error=True
[87] bbox_docvqa_id=88 images=18/18 error=True
[80] bbox_docvqa_id=81 images=18/18 error=True
[7] bbox_docvqa_id=8 images=28/28 error=False
[21] bbox_docvqa_id=22 images=21/21 error=False
[88] bbox_docvqa_id=89 images=18/18 error=True
[88] bbox_docvqa_id=89 images=18/18 error=True
[81] bbox_docvqa_id=82 images=18/18 error=True
[89] bbox_docvqa_id=90 images=18/18 error=True
[89] bbox_docvqa_id=90 images=18/18 error=True
[82] bbox_docvqa_id=83 images=18/18 error=True
[29] bbox_docvqa_id=30 images=21/21 error=False
[22] bbox_docvqa_id=23 images=21/21 error=False
[83] bbox_docvqa_id=84 images=18/18 error=True
[90] bbox_docvqa_id=91 images=24/24 error=True
[90] bbox_docvqa_id=91 images=24/24 error=True
[84] bbox_docvqa_id=85 images=18/18 error=True
[91] bbox_docvqa_id=92 images=24/24 error=True
[91] bbox_docvqa_id=92 images=24/24 error=True
[85] bbox_docvqa_id=86 images=18/18 error=True
[92] bbox_docvqa_id=93 images=24/24 error=True
[86] bbox_docvqa_id=87 images=18/18 error=True
[92] bbox_docvqa_id=93 images=24/24 error=True
[23] bbox_docvqa_id=24 images=21/21 error=False
[30] bbox_docvqa_id=31 images=20/20 error=False
[93] bbox_docvqa_id=94 images=24/24 error=True
[87] bbox_docvqa_id=88 images=18/18 error=True
[93] bbox_docvqa_id=94 images=24/24 error=True
[88] bbox_docvqa_id=89 images=18/18 error=True
[94] bbox_docvqa_id=95 images=24/24 error=True
[94] bbox_docvqa_id=95 images=24/24 error=True
[89] bbox_docvqa_id=90 images=18/18 error=True
[24] bbox_docvqa_id=25 images=21/21 error=False
[95] bbox_docvqa_id=96 images=24/24 error=True
[95] bbox_docvqa_id=96 images=24/24 error=True
[90] bbox_docvqa_id=91 images=24/24 error=True
[31] bbox_docvqa_id=32 images=20/20 error=False
[96] bbox_docvqa_id=97 images=24/24 error=True
[91] bbox_docvqa_id=92 images=24/24 error=True
[96] bbox_docvqa_id=97 images=24/24 error=True
[25] bbox_docvqa_id=26 images=21/21 error=False
[97] bbox_docvqa_id=98 images=24/24 error=True
[97] bbox_docvqa_id=98 images=24/24 error=True
[8] bbox_docvqa_id=9 images=28/28 error=False
[92] bbox_docvqa_id=93 images=24/24 error=True
[32] bbox_docvqa_id=33 images=20/20 error=False
[98] bbox_docvqa_id=99 images=24/24 error=True
[98] bbox_docvqa_id=99 images=24/24 error=True
[93] bbox_docvqa_id=94 images=24/24 error=True
[26] bbox_docvqa_id=27 images=21/21 error=False
[99] bbox_docvqa_id=100 images=24/24 error=True
[99] bbox_docvqa_id=100 images=24/24 error=True
[33] bbox_docvqa_id=34 images=20/20 error=False
[94] bbox_docvqa_id=95 images=24/24 error=True
[27] bbox_docvqa_id=28 images=21/21 error=False
[95] bbox_docvqa_id=96 images=24/24 error=True
[34] bbox_docvqa_id=35 images=20/20 error=False
[96] bbox_docvqa_id=97 images=24/24 error=True
[28] bbox_docvqa_id=29 images=21/21 error=False
[97] bbox_docvqa_id=98 images=24/24 error=True
[35] bbox_docvqa_id=36 images=20/20 error=False
[98] bbox_docvqa_id=99 images=24/24 error=True
[29] bbox_docvqa_id=30 images=21/21 error=False
[9] bbox_docvqa_id=10 images=28/28 error=False
[13] bbox_docvqa_id=14 images=12/12 error=False
[99] bbox_docvqa_id=100 images=24/24 error=True
[36] bbox_docvqa_id=37 images=20/20 error=False
[37] bbox_docvqa_id=38 images=20/20 error=False
[100] bbox_docvqa_id=101 images=8/8 error=False
[100] bbox_docvqa_id=101 images=8/8 error=False
[10] bbox_docvqa_id=11 images=12/12 error=False
[38] bbox_docvqa_id=39 images=20/20 error=False
[100] bbox_docvqa_id=101 images=8/8 error=True
[11] bbox_docvqa_id=12 images=12/12 error=False
[30] bbox_docvqa_id=31 images=20/20 error=False
[39] bbox_docvqa_id=40 images=20/20 error=False
[101] bbox_docvqa_id=102 images=8/8 error=False
[102] bbox_docvqa_id=103 images=8/8 error=False
[31] bbox_docvqa_id=32 images=20/20 error=False
[103] bbox_docvqa_id=104 images=8/8 error=False
[40] bbox_docvqa_id=41 images=11/11 error=False
[12] bbox_docvqa_id=13 images=12/12 error=False
[32] bbox_docvqa_id=33 images=20/20 error=False
[41] bbox_docvqa_id=42 images=11/11 error=False
[104] bbox_docvqa_id=105 images=8/8 error=False
[105] bbox_docvqa_id=106 images=8/8 error=False
[42] bbox_docvqa_id=43 images=11/11 error=False
[33] bbox_docvqa_id=34 images=20/20 error=False
[101] bbox_docvqa_id=102 images=8/8 error=False
[106] bbox_docvqa_id=107 images=8/8 error=False
[13] bbox_docvqa_id=14 images=12/12 error=False
[43] bbox_docvqa_id=44 images=11/11 error=False
[107] bbox_docvqa_id=108 images=8/8 error=False
[34] bbox_docvqa_id=35 images=20/20 error=False
[102] bbox_docvqa_id=103 images=8/8 error=False
[108] bbox_docvqa_id=109 images=8/8 error=False
[44] bbox_docvqa_id=45 images=11/11 error=False
[109] bbox_docvqa_id=110 images=8/8 error=False
[14] bbox_docvqa_id=15 images=12/12 error=False
[101] bbox_docvqa_id=102 images=8/8 error=False
[35] bbox_docvqa_id=36 images=20/20 error=False
[110] bbox_docvqa_id=111 images=18/18 error=True
[45] bbox_docvqa_id=46 images=11/11 error=False
[111] bbox_docvqa_id=112 images=18/18 error=True
[46] bbox_docvqa_id=47 images=11/11 error=False
[112] bbox_docvqa_id=113 images=18/18 error=True
[36] bbox_docvqa_id=37 images=20/20 error=False
[15] bbox_docvqa_id=16 images=12/12 error=False
[14] bbox_docvqa_id=15 images=12/12 error=False
[113] bbox_docvqa_id=114 images=18/18 error=True
[47] bbox_docvqa_id=48 images=11/11 error=False
[114] bbox_docvqa_id=115 images=18/18 error=True
[37] bbox_docvqa_id=38 images=20/20 error=False
[48] bbox_docvqa_id=49 images=11/11 error=False
[115] bbox_docvqa_id=116 images=18/18 error=True
[116] bbox_docvqa_id=117 images=18/18 error=True
[49] bbox_docvqa_id=50 images=11/11 error=False
[38] bbox_docvqa_id=39 images=20/20 error=False
[16] bbox_docvqa_id=17 images=12/12 error=False
[117] bbox_docvqa_id=118 images=18/18 error=True
[118] bbox_docvqa_id=119 images=18/18 error=True
[39] bbox_docvqa_id=40 images=20/20 error=False
[119] bbox_docvqa_id=120 images=18/18 error=True
[50] bbox_docvqa_id=51 images=19/19 error=False
[17] bbox_docvqa_id=18 images=12/12 error=False
[120] bbox_docvqa_id=121 images=32/32 error=True
[103] bbox_docvqa_id=104 images=8/8 error=False
[121] bbox_docvqa_id=122 images=32/32 error=True
[102] bbox_docvqa_id=103 images=8/8 error=False
[51] bbox_docvqa_id=52 images=19/19 error=False
[122] bbox_docvqa_id=123 images=32/32 error=True
[18] bbox_docvqa_id=19 images=12/12 error=False
[40] bbox_docvqa_id=41 images=11/11 error=False
[104] bbox_docvqa_id=105 images=8/8 error=False
[52] bbox_docvqa_id=53 images=19/19 error=False
[41] bbox_docvqa_id=42 images=11/11 error=False
[123] bbox_docvqa_id=124 images=32/32 error=True
[42] bbox_docvqa_id=43 images=11/11 error=False
[124] bbox_docvqa_id=125 images=32/32 error=True
[105] bbox_docvqa_id=106 images=8/8 error=False
[53] bbox_docvqa_id=54 images=19/19 error=False
[19] bbox_docvqa_id=20 images=12/12 error=False
[43] bbox_docvqa_id=44 images=11/11 error=False
[125] bbox_docvqa_id=126 images=32/32 error=True
[44] bbox_docvqa_id=45 images=11/11 error=False
[106] bbox_docvqa_id=107 images=8/8 error=False
[126] bbox_docvqa_id=127 images=32/32 error=True
[54] bbox_docvqa_id=55 images=19/19 error=False
[103] bbox_docvqa_id=104 images=8/8 error=False
[45] bbox_docvqa_id=46 images=11/11 error=False
[127] bbox_docvqa_id=128 images=32/32 error=True
[55] bbox_docvqa_id=56 images=19/19 error=False
[46] bbox_docvqa_id=47 images=11/11 error=False
[107] bbox_docvqa_id=108 images=8/8 error=False
[128] bbox_docvqa_id=129 images=32/32 error=True
[47] bbox_docvqa_id=48 images=11/11 error=False
[20] bbox_docvqa_id=21 images=21/21 error=False
[15] bbox_docvqa_id=16 images=12/12 error=False
[48] bbox_docvqa_id=49 images=11/11 error=False
[129] bbox_docvqa_id=130 images=32/32 error=True
[56] bbox_docvqa_id=57 images=19/19 error=False
[108] bbox_docvqa_id=109 images=8/8 error=False
[49] bbox_docvqa_id=50 images=11/11 error=False
[57] bbox_docvqa_id=58 images=19/19 error=False
[109] bbox_docvqa_id=110 images=8/8 error=False
[104] bbox_docvqa_id=105 images=8/8 error=False
[110] bbox_docvqa_id=111 images=18/18 error=True
[58] bbox_docvqa_id=59 images=19/19 error=False
[130] bbox_docvqa_id=131 images=9/9 error=False
[111] bbox_docvqa_id=112 images=18/18 error=True
[21] bbox_docvqa_id=22 images=21/21 error=False
[112] bbox_docvqa_id=113 images=18/18 error=True
[59] bbox_docvqa_id=60 images=19/19 error=False
[113] bbox_docvqa_id=114 images=18/18 error=True
[114] bbox_docvqa_id=115 images=18/18 error=True
[115] bbox_docvqa_id=116 images=18/18 error=True
[131] bbox_docvqa_id=132 images=9/9 error=False
[116] bbox_docvqa_id=117 images=18/18 error=True
[22] bbox_docvqa_id=23 images=21/21 error=False
[132] bbox_docvqa_id=133 images=9/9 error=False
[117] bbox_docvqa_id=118 images=18/18 error=True
[118] bbox_docvqa_id=119 images=18/18 error=True
[133] bbox_docvqa_id=134 images=9/9 error=False
[119] bbox_docvqa_id=120 images=18/18 error=True
[134] bbox_docvqa_id=135 images=9/9 error=False
[50] bbox_docvqa_id=51 images=19/19 error=False
[120] bbox_docvqa_id=121 images=32/32 error=True
[135] bbox_docvqa_id=136 images=9/9 error=False
[51] bbox_docvqa_id=52 images=19/19 error=False
[121] bbox_docvqa_id=122 images=32/32 error=True
[105] bbox_docvqa_id=106 images=8/8 error=False
[136] bbox_docvqa_id=137 images=9/9 error=False
[122] bbox_docvqa_id=123 images=32/32 error=True
[23] bbox_docvqa_id=24 images=21/21 error=False
[137] bbox_docvqa_id=138 images=9/9 error=False
[106] bbox_docvqa_id=107 images=8/8 error=False
[60] bbox_docvqa_id=61 images=52/52 error=False
[123] bbox_docvqa_id=124 images=32/32 error=True
[138] bbox_docvqa_id=139 images=9/9 error=False
[107] bbox_docvqa_id=108 images=8/8 error=False
[139] bbox_docvqa_id=140 images=9/9 error=False
[124] bbox_docvqa_id=125 images=32/32 error=True
[140] bbox_docvqa_id=141 images=21/21 error=True
[16] bbox_docvqa_id=17 images=12/12 error=False
[125] bbox_docvqa_id=126 images=32/32 error=True
[141] bbox_docvqa_id=142 images=21/21 error=True
[52] bbox_docvqa_id=53 images=19/19 error=False
[126] bbox_docvqa_id=127 images=32/32 error=True
[61] bbox_docvqa_id=62 images=52/52 error=False
[142] bbox_docvqa_id=143 images=21/21 error=True
[143] bbox_docvqa_id=144 images=21/21 error=True
[53] bbox_docvqa_id=54 images=19/19 error=False
[24] bbox_docvqa_id=25 images=21/21 error=False
